City,Mode,Date,RouteID,DayType,Ridership
Chicago,Bus,2001-01-01,8,Sunday/Holiday,6309
Chicago,Bus,2001-01-04,204,Weekday,1130
Chicago,Bus,2001-01-01,11,Sunday/Holiday,610
Chicago,Bus,2001-01-02,88,Weekday,1223
Chicago,Bus,2001-01-03,56,Weekday,14144
Chicago,Bus,2001-01-04,81W,Weekday,1831
Chicago,Bus,2001-01-02,4,Weekday,19000
Chicago,Bus,2001-01-02,73,Weekday,3500
Chicago,Bus,2001-01-03,73,Weekday,4096
Chicago,Bus,2001-01-04,72,Weekday,14646
Chicago,Bus,2001-01-05,9,Weekday,27956
Chicago,Bus,2001-01-02,85A,Weekday,753
Chicago,Bus,2001-01-03,91,Weekday,6404
Chicago,Bus,2001-01-03,34,Weekday,7089
Chicago,Bus,2001-01-03,54A,Weekday,1181
Chicago,Bus,2001-01-02,111,Weekday,4488
Chicago,Bus,2001-01-01,20,Sunday/Holiday,7096
Chicago,Bus,2001-01-04,84,Weekday,3703
Chicago,Bus,2001-01-01,54B,Sunday/Holiday,1640
Chicago,Bus,2001-01-03,51,Weekday,3548
Chicago,Bus,2001-01-04,54B,Weekday,4988
Chicago,Bus,2001-01-03,49B,Weekday,4678
Chicago,Bus,2001-01-04,172,Weekday,792
Chicago,Bus,2001-01-05,36,Weekday,15896
Chicago,Bus,2001-01-05,18,Weekday,1201
Chicago,Bus,2001-01-03,64,Weekday,353
Chicago,Bus,2001-01-03,92,Weekday,6467
Chicago,Bus,2001-01-03,67,Weekday,11896
Chicago,Bus,2001-01-03,122,Weekday,1039
Chicago,Bus,2001-01-04,78,Weekday,8399
Chicago,Bus,2001-01-04,21,Weekday,6755
Chicago,Bus,2001-01-01,57,Sunday/Holiday,541
Chicago,Bus,2001-01-02,7,Weekday,4268
Chicago,Bus,2001-01-02,75,Weekday,5488
Chicago,Bus,2001-01-01,52,Sunday/Holiday,4061
Chicago,Bus,2001-01-04,49A,Weekday,279
Chicago,Bus,2001-01-04,24,Weekday,2691
Chicago,Bus,2001-01-03,35,Weekday,5261
Chicago,Bus,2001-01-03,53A,Weekday,6469
Chicago,Bus,2001-01-03,71,Weekday,6326
Chicago,Bus,2001-01-04,129,Weekday,381
Chicago,Bus,2001-01-03,17,Weekday,402
Chicago,Bus,2001-01-04,49B,Weekday,4855
Chicago,Bus,2001-01-03,157,Weekday,2993
Chicago,Bus,2001-01-04,62,Weekday,14352
Chicago,Bus,2001-01-01,90,Sunday/Holiday,819
Chicago,Bus,2001-01-02,81,Weekday,12366
Chicago,Bus,2001-01-03,3,Weekday,18195
Chicago,Bus,2001-01-03,172,Weekday,661
Chicago,Bus,2001-01-03,66,Weekday,19366
Chicago,Bus,2001-01-02,90N,Weekday,223
Chicago,Bus,2001-01-01,52A,Sunday/Holiday,1451
Chicago,Bus,2001-01-04,55,Weekday,12428
Chicago,Bus,2001-01-05,43,Weekday,1214
Chicago,Bus,2001-01-04,19,Weekday,305
Chicago,Bus,2001-01-03,1,Weekday,6809
Chicago,Bus,2001-01-03,62,Weekday,13066
Chicago,Bus,2001-01-01,106,Sunday/Holiday,326
Chicago,Bus,2001-01-03,147,Weekday,7954
Chicago,Bus,2001-01-02,127,Weekday,329
Chicago,Bus,2001-01-04,96,Weekday,945
Chicago,Bus,2001-01-01,201,Sunday/Holiday,186
Chicago,Bus,2001-01-05,29,Weekday,16656
Chicago,Bus,2001-01-04,147,Weekday,8479
Chicago,Bus,2001-01-04,56,Weekday,13516
Chicago,Bus,2001-01-03,87,Weekday,13299
Chicago,Bus,2001-01-02,33,Weekday,742
Chicago,Bus,2001-01-02,21,Weekday,6535
Chicago,Bus,2001-01-04,152,Weekday,8853
Chicago,Bus,2001-01-02,79,Weekday,24965
Chicago,Bus,2001-01-04,90N,Weekday,283
Chicago,Bus,2001-01-04,6,Weekday,16796
Chicago,Bus,2001-01-04,90,Weekday,4148
Chicago,Bus,2001-01-02,119,Weekday,4456
Chicago,Bus,2001-01-03,84,Weekday,3450
Chicago,Bus,2001-01-05,2,Weekday,631
Chicago,Bus,2001-01-02,52,Weekday,9613
Chicago,Bus,2001-01-02,122,Weekday,759
Chicago,Bus,2001-01-02,78,Weekday,8027
Chicago,Bus,2001-01-03,155,Weekday,6790
Chicago,Bus,2001-01-05,12,Weekday,10139
Chicago,Bus,2001-01-02,100,Weekday,601
Chicago,Bus,2001-01-02,86,Weekday,1353
Chicago,Bus,2001-01-03,55,Weekday,10791
Chicago,Bus,2001-01-03,100,Weekday,666
Chicago,Bus,2001-01-03,55N,Weekday,670
Chicago,Bus,2001-01-04,87,Weekday,15132
Chicago,Bus,2001-01-04,106,Weekday,1336
Chicago,Bus,2001-01-04,20,Weekday,21221
Chicago,Bus,2001-01-03,152,Weekday,7689
Chicago,Bus,2001-01-03,93,Weekday,1803
Chicago,Bus,2001-01-03,43,Weekday,1124
Chicago,Bus,2001-01-02,19,Weekday,456
Chicago,Bus,2001-01-04,8,Weekday,17928
Chicago,Bus,2001-01-02,25,Weekday,70
Chicago,Bus,2001-01-02,95E,Weekday,5109
Chicago,Bus,2001-01-04,120,Weekday,582
Chicago,Bus,2001-01-02,18,Weekday,1523
Chicago,Bus,2001-01-02,57,Weekday,2213
Chicago,Bus,2001-01-04,85A,Weekday,828
Chicago,Bus,2001-01-01,70,Sunday/Holiday,4295
Chicago,Bus,2001-01-04,60,Weekday,13032
Chicago,Bus,2001-01-04,18,Weekday,2138
Chicago,Bus,2001-01-04,66,Weekday,19628
Chicago,Bus,2001-01-01,81W,Sunday/Holiday,200
Chicago,Bus,2001-01-02,84,Weekday,3588
Chicago,Bus,2001-01-04,59,Weekday,3567
Chicago,Bus,2001-01-03,82,Weekday,14486
Chicago,Bus,2001-01-01,146,Sunday/Holiday,2191
Chicago,Bus,2001-01-05,21,Weekday,6297
Chicago,Bus,2001-01-01,30,Sunday/Holiday,600
Chicago,Bus,2001-01-03,69,Weekday,410
Chicago,Bus,2001-01-02,14,Weekday,6497
Chicago,Bus,2001-01-03,22,Weekday,19286
Chicago,Bus,2001-01-04,156,Weekday,9138
Chicago,Bus,2001-01-05,27,Weekday,5517
Chicago,Bus,2001-01-02,2,Weekday,629
Chicago,Bus,2001-01-03,129,Weekday,742
Chicago,Bus,2001-01-01,94,Sunday/Holiday,2540
Chicago,Bus,2001-01-04,170,Weekday,322
Chicago,Bus,2001-01-02,29,Weekday,13997
Chicago,Bus,2001-01-03,9,Weekday,25393
Chicago,Bus,2001-01-04,11,Weekday,3188
Chicago,Bus,2001-01-02,87,Weekday,11749
Chicago,Bus,2001-01-02,81W,Weekday,1564
Chicago,Bus,2001-01-01,145,Sunday/Holiday,1379
Chicago,Bus,2001-01-03,203,Weekday,1346
Chicago,Bus,2001-01-04,25,Weekday,89
Chicago,Bus,2001-01-01,119,Sunday/Holiday,2159
Chicago,Bus,2001-01-02,69,Weekday,426
Chicago,Bus,2001-01-03,81W,Weekday,1791
Chicago,Bus,2001-01-04,52,Weekday,11179
Chicago,Bus,2001-01-03,72,Weekday,14868
Chicago,Bus,2001-01-02,60,Weekday,12751
Chicago,Bus,2001-01-04,71,Weekday,6211
Chicago,Bus,2001-01-03,74,Weekday,10725
Chicago,Bus,2001-01-02,202,Weekday,321
Chicago,Bus,2001-01-04,37,Weekday,2007
Chicago,Bus,2001-01-04,111,Weekday,4895
Chicago,Bus,2001-01-02,51,Weekday,3440
Chicago,Bus,2001-01-04,80,Weekday,10654
Chicago,Bus,2001-01-02,82,Weekday,14423
Chicago,Bus,2001-01-02,56,Weekday,13157
Chicago,Bus,2001-01-01,35,Sunday/Holiday,1526
Chicago,Bus,2001-01-01,28,Sunday/Holiday,5462
Chicago,Bus,2001-01-02,62,Weekday,11218
Chicago,Bus,2001-01-01,103,Sunday/Holiday,869
Chicago,Bus,2001-01-04,52A,Weekday,5503
Chicago,Bus,2001-01-03,146,Weekday,9649
