vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,snapshot_ts,City
1559,20260203 04:33,41.807521265203306,-87.70391845703125,359,6126,47,Lake Park,22809,False,4,273995414,47 -605,,1,,15300,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1483,20260203 04:33,41.80905003701487,-87.6319321663149,90,6126,47,Lake Park,47916,False,1,273995412,47 -603,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8187,20260203 04:33,41.80958557128906,-87.60104329962479,272,6128,47,Midway Orange Line,2680,False,19,273995411,47 -602,,1,,16170,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1434,20260203 04:33,41.80813485604745,-87.70347849527995,267,6128,47,Midway Orange Line,35849,False,20,273995409,47 -601,,1,,14610,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8896,20260203 04:33,41.93524192361271,-87.6880428089815,178,1178,49,79th,15861,False,10001288,273987776,49 -601,,1,,16320,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8836,20260203 04:33,41.903238693873085,-87.68711853027344,178,1178,49,79th,27539,False,10001287,273987775,49 -502,,1,,15120,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8894,20260203 04:33,41.7980094909668,-87.68414306640625,178,1178,49,79th,66302,False,10001286,273987774,49 -501,,1,,13320,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8839,20260203 04:33,41.75087229410807,-87.68191274007161,143,1178,49,79th,83762,False,10001285,273987773,36 -501,,1,,11520,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1467,20260203 04:33,41.8017567225865,-87.68424349415059,358,1180,49,Berwyn,18679,False,10001277,273987600,49 -603,,1,,15480,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8224,20260203 04:33,41.88300639185413,-87.68639373779297,358,1180,49,Berwyn,48382,False,10001276,273987599,49 -602,,1,,14400,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8945,20260203 04:33,41.96735894875448,-87.68878173828125,0,1180,49,Berwyn,79158,False,10001275,273987598,75 -601,,1,,12600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1863,20260203 04:33,41.97253036499024,-87.68907928466797,176,1184,49B,Western Brown Line,1113,False,22224932,274114844,X49 -501,,1,,16410,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1806,20260203 04:33,42.0079710824149,-87.69006865365165,359,4107,49B,Howard,15328,False,22224910,273987982,49 -503,,1,,15600,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1096,20260203 04:33,41.978702545166016,-87.66975402832031,178,1151,50,35th/Archer Orange Line,3009,False,5,274000210,50 -501,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8597,20260203 04:33,41.81932646652748,-87.70451591754782,177,4720,52,63rd,20609,False,88415540,273988583,52 -202,,1,,15301,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8312,20260203 04:33,41.78788766628358,-87.70334848543493,358,14117,52,Chicago/Kedzie,3716,False,442,273988417,52 -201,,1,,16200,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1222,20260203 04:33,41.740605787797406,-87.7022270896218,177,7456,52A,115th/Springfield,23671,False,1090468,273993500,52A-702,,1,,15360,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7931,20260203 04:33,41.68402150098015,-87.71650763118969,284,7456,52A,115th/Springfield,48630,False,1090467,273993499,52A-701,,1,,14100,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7928,20260203 04:33,41.80461175101144,-87.70477294921875,86,7457,52A,Kedzie Orange Line,20706,False,1090466,273993498,52A-704,,1,,15300,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8621,20260203 04:33,41.7443184354412,-87.70223999023438,358,7458,52A,Kedzie Orange Line,26585,False,1090397,273993428,52A-703,,1,,15360,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8817,20260203 04:33,41.95164004961649,-87.72738631566365,1,28345,53,Peterson,55578,False,88393112,273981829,53 -805,,1,,13560,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8811,20260203 04:33,41.77829992771149,-87.72266232967377,358,28346,53,Peterson,11947,False,103420,273981775,53 -802,,1,,15930,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8162,20260203 04:33,41.8592332204183,-87.72497219509549,355,28346,53,Peterson,42591,False,103419,273981774,53 -804,,1,,14460,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1152,20260203 04:33,41.99002456665039,-87.72844696044922,283,28350,53,Ford City,0,False,88393429,273982053,53 -808,,1,,16770,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8693,20260203 04:33,41.989688873291016,-87.72837829589844,358,28350,53,Ford City,0,False,103414,273981819,53 -810,,1,,17370,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8691,20260203 04:33,41.95268531467604,-87.72769330895466,194,28350,53,Ford City,13683,False,1,273981818,53 -801,,1,,15720,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8169,20260203 04:33,41.86834779077647,-87.72525787353516,179,28350,53,Ford City,44677,False,103413,273981817,53 -806,,1,,14220,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8571,20260203 04:33,41.771341102067815,-87.72264862060547,179,28352,53,Ford City,68492,False,103418,273981815,53 -803,,1,,13080,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8583,20260203 04:33,41.82945625737028,-87.72419638003943,179,28354,53,Ford City,23274,False,88424193,274070454,53 -813,,1,,15420,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
1245,20260203 04:33,41.81026181307706,-87.72374808571556,178,28354,53,Ford City,30265,False,88424199,274070453,53 -811,,1,,14820,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
8580,20260203 04:33,41.7559849253872,-87.73291925798382,178,28354,53,Ford City,55133,False,88424201,274070471,53 -807,,1,,13320,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
7940,20260203 04:33,41.71142810323964,-87.72115325927734,179,4573,53A,115th,32833,False,1090552,273999866,53A-701,,1,,15000,2026-02-03,2026-02-03 10:32:44.189315+00:00,Chicago
