subject,city,avg_sunday_holiday_rides,month_beginning,routename,monthtotal,avg_weekday_rides,avg_saturday_rides,route
https://data.cityofchicago.org/resource/bynn-gwxy/row-kc4x.u5a8-y5vk,Chicago,6495.9,2001-01-01,Garfield,350112,12778.5,9126.4,55
https://data.cityofchicago.org/resource/bynn-gwxy/row-fif8~29k7~gypj,Chicago,0.0,2001-02-01,59th/61st,100781,4593.0,2230.1,59
https://data.cityofchicago.org/resource/bynn-gwxy/row-nn72-qsth~dmqp,Chicago,0.0,2001-02-01,Streeterville/Taylor,65581,3279.0,0.0,157
https://data.cityofchicago.org/resource/bynn-gwxy/row-i9na~b3j3.u8vy,Chicago,286.1,2001-02-01,United Center Express,6903,295.5,331.3,19
https://data.cityofchicago.org/resource/bynn-gwxy/row-8wit~7xu7.9bwt,Chicago,0.0,2001-04-01,Foster-Canfield,5112,243.4,0.0,64
https://data.cityofchicago.org/resource/bynn-gwxy/row-ns4x-c6ai.9a6e,Chicago,0.0,2001-04-01,Ogilvie/Wacker Express,23832,1134.8,0.0,120
https://data.cityofchicago.org/resource/bynn-gwxy/row-qvun.ajyr.pnhn,Chicago,618.7,2001-02-01,16th/18th,47570,2075.4,896.8,18
https://data.cityofchicago.org/resource/bynn-gwxy/row-vt69-6trg_mf96,Chicago,15336.1,2001-01-01,Ashland,811006,29265.4,22621.7,9
https://data.cityofchicago.org/resource/bynn-gwxy/row-kt3q-4exu-i2b9,Chicago,56.8,2001-02-01,U. of Chicago/Kenwood,19198,933.5,75.1,172
https://data.cityofchicago.org/resource/bynn-gwxy/row-pgys.e6p3.zei7,Chicago,7379.1,2001-04-01,Milwaukee,411141,15910.2,10032.7,56
https://data.cityofchicago.org/resource/bynn-gwxy/row-f8m7.a4jj-equ9,Chicago,2062.4,2001-01-01,Pullman/111th/115th,157849,6074.4,3474.9,111
https://data.cityofchicago.org/resource/bynn-gwxy/row-xypj-p4yp-xi5q,Chicago,378.2,2001-01-01,West 63rd,53094,2196.4,720.5,63W
https://data.cityofchicago.org/resource/bynn-gwxy/row-6tpf.d8bi.xuf3,Chicago,362.2,2001-04-01,West Lawrence,37709,1535.7,911.9,81W
https://data.cityofchicago.org/resource/bynn-gwxy/row-yvda.hjnr~5g7h,Chicago,2470.1,2001-01-01,Damen,213128,8322.7,4419.7,50
https://data.cityofchicago.org/resource/bynn-gwxy/row-ky4b.iskc~dmrk,Chicago,2728.1,2001-04-01,Foster,188392,7459.4,4526.3,92
https://data.cityofchicago.org/resource/bynn-gwxy/row-cuyi.q936-c7ha,Chicago,13393.1,2001-03-01,Sheridan,692384,25366.7,16148.9,151
https://data.cityofchicago.org/resource/bynn-gwxy/row-zwg4_4cd5.jnfb,Chicago,710.8,2001-03-01,16th/18th,45533,1717.8,979.8,18
https://data.cityofchicago.org/resource/bynn-gwxy/row-m5y4~6gre.wn83,Chicago,0.0,2001-01-01,Lunt,29550,1343.2,0.0,96
https://data.cityofchicago.org/resource/bynn-gwxy/row-n7rv.v26v_rdse,Chicago,0.0,2001-03-01,Illinois Center/Ogilvie Express,24038,1092.6,0.0,122
https://data.cityofchicago.org/resource/bynn-gwxy/row-47pv.diff~faug,Chicago,9602.4,2001-04-01,Broadway,418491,15016.9,13780.9,36
https://data.cityofchicago.org/resource/bynn-gwxy/row-asw3.prwm.euug,Chicago,9019.4,2001-03-01,Broadway,452183,15571.8,14705.2,36
https://data.cityofchicago.org/resource/bynn-gwxy/row-pke9.pyp3_kps6,Chicago,5587.8,2001-01-01,Stony Island,336246,11964.9,11269.6,28
https://data.cityofchicago.org/resource/bynn-gwxy/row-ve5w~egz4.8cn5,Chicago,650.2,2001-02-01,Laramie,69836,3077.0,1423.8,57
https://data.cityofchicago.org/resource/bynn-gwxy/row-id4h-h8cn~wmy6,Chicago,9045.4,2001-04-01,Madison,546252,21244.5,13722.4,20
https://data.cityofchicago.org/resource/bynn-gwxy/row-9yz9~pedp~u98s,Chicago,12930.8,2001-04-01,63rd,583672,21416.6,17317.6,63
https://data.cityofchicago.org/resource/bynn-gwxy/row-jmjd.d7d6~xbae,Chicago,1145.6,2001-01-01,Peterson,111265,4357.5,2418.1,84
https://data.cityofchicago.org/resource/bynn-gwxy/row-nrii_zmxr-szx9,Chicago,1088.1,2001-03-01,Lincoln/Sedgwick,95692,3725.6,1875.1,11
https://data.cityofchicago.org/resource/bynn-gwxy/row-defe.x5yz-78dy,Chicago,6677.5,2001-02-01,Cicero,323328,13016.8,9070.8,54
https://data.cityofchicago.org/resource/bynn-gwxy/row-8a82~4gqe~ignm,Chicago,7025.6,2001-01-01,67th-69th-71st,387336,14219.5,9844.6,67
https://data.cityofchicago.org/resource/bynn-gwxy/row-kc5n_cnck.eea5,Chicago,9281.7,2001-04-01,Halsted,516791,19911.5,13060.0,8
https://data.cityofchicago.org/resource/bynn-gwxy/row-4iy3~qkea-miu5,Chicago,0.0,2001-01-01,Narragansett/Ridgeland,40287,1831.2,0.0,86
https://data.cityofchicago.org/resource/bynn-gwxy/row-39zk_is6c_78cm,Chicago,6835.8,2001-03-01,Blue Island/26th,405256,14751.9,10674.1,60
https://data.cityofchicago.org/resource/bynn-gwxy/row-iwwq-mirn-6igd,Chicago,10136.2,2001-02-01,King Drive,564037,23226.0,14743.0,3
https://data.cityofchicago.org/resource/bynn-gwxy/row-66wp-jpae~6piw,Chicago,6745.8,2001-01-01,Kimball-Homan,511235,19622.7,11451.6,82
https://data.cityofchicago.org/resource/bynn-gwxy/row-g8i7.q7ge_dpdz,Chicago,3095.5,2001-03-01,West 95th,156267,5292.0,5492.3,95W
https://data.cityofchicago.org/resource/bynn-gwxy/row-gixz.rxzk.ru9c,Chicago,4215.2,2001-03-01,South Michigan,231390,8338.0,6218.6,34
https://data.cityofchicago.org/resource/bynn-gwxy/row-gekv~mk3d_4f4m,Chicago,0.0,2001-04-01,North Cicero/Skokie Blvd.,27979,1332.3,0.0,54A
https://data.cityofchicago.org/resource/bynn-gwxy/row-jrvs.ymiu-qggn,Chicago,16737.1,2001-02-01,79th,805623,32205.8,23639.8,79
https://data.cityofchicago.org/resource/bynn-gwxy/row-gtry_x3u6_qqzg,Chicago,0.0,2001-02-01,Outer Drive Express,203852,9123.0,5347.7,147
https://data.cityofchicago.org/resource/bynn-gwxy/row-iidn-a87j.9wkv,Chicago,5571.5,2001-01-01,87th,415524,15732.2,10389.7,87
https://data.cityofchicago.org/resource/bynn-gwxy/row-hk4f_5zsu.qjk9,Chicago,3438.3,2001-03-01,71st/South Shore,203634,7310.8,5808.5,71
https://data.cityofchicago.org/resource/bynn-gwxy/row-awkn~vfne~ymmg,Chicago,0.0,2001-02-01,Pershing,44859,2242.9,0.0,39
https://data.cityofchicago.org/resource/bynn-gwxy/row-csjy-nkdd.frse,Chicago,4667.4,2001-01-01,Archer,379135,14926.0,6856.3,62
https://data.cityofchicago.org/resource/bynn-gwxy/row-zh22~a3jq.fjcn,Chicago,5694.7,2001-04-01,Roosevelt,279647,10568.6,7308.0,12
https://data.cityofchicago.org/resource/bynn-gwxy/row-iz8e.7jtg.9r3n,Chicago,337.6,2001-01-01,West Lawrence,39738,1577.3,837.2,81W
https://data.cityofchicago.org/resource/bynn-gwxy/row-kyhd.6s85.gj6p,Chicago,0.0,2001-02-01,Narragansett/Ridgeland,43741,2187.0,0.0,86
https://data.cityofchicago.org/resource/bynn-gwxy/row-ujc2_qjbv-jjwi,Chicago,732.2,2001-04-01,16th/18th,43079,1685.9,1003.6,18
https://data.cityofchicago.org/resource/bynn-gwxy/row-suuw-ipda.8e9h,Chicago,1810.1,2001-01-01,35th,153931,5977.7,3342.5,35
https://data.cityofchicago.org/resource/bynn-gwxy/row-dj2p_ay4z_j63d,Chicago,6120.1,2001-04-01,Kedzie/California,324477,12301.4,8886.6,52
https://data.cityofchicago.org/resource/bynn-gwxy/row-y5m2_bnef.zavi,Chicago,0.0,2001-01-01,Streeterville/Taylor,72933,3315.2,0.0,157
https://data.cityofchicago.org/resource/bynn-gwxy/row-5s26~hsgn-9iyq,Chicago,2187.6,2001-03-01,South Kedzie,169595,6445.2,3810.1,52A
https://data.cityofchicago.org/resource/bynn-gwxy/row-cbrr-bm4n_n53b,Chicago,0.0,2001-04-01,Pershing,46837,2230.3,0.0,39
https://data.cityofchicago.org/resource/bynn-gwxy/row-avnd.adqm-x79h,Chicago,0.0,2001-02-01,Sedgwick,51866,2593.3,0.0,37
https://data.cityofchicago.org/resource/bynn-gwxy/row-g7yp_s8gr_aetb,Chicago,7509.4,2001-04-01,Jackson Park Express,471177,18238.5,12655.7,6
https://data.cityofchicago.org/resource/bynn-gwxy/row-d6xm.t6pd_8t32,Chicago,305.9,2001-04-01,United Center Express,4109,466.2,860.7,19
https://data.cityofchicago.org/resource/bynn-gwxy/row-s47i~gpk7-mby5,Chicago,5414.0,2001-03-01,Division,303846,11037.6,7872.4,70
https://data.cityofchicago.org/resource/bynn-gwxy/row-24er.mdbf.exxi,Chicago,1372.4,2001-01-01,Armitage,127491,4994.3,2688.6,73
https://data.cityofchicago.org/resource/bynn-gwxy/row-c3ft.7zp3.wphb,Chicago,2860.6,2001-04-01,Michigan/119th,149661,5447.5,5239.8,119
https://data.cityofchicago.org/resource/bynn-gwxy/row-fcke.4bdy~b34n,Chicago,0.0,2001-01-01,Foster-Canfield,7419,337.2,0.0,64
https://data.cityofchicago.org/resource/bynn-gwxy/row-zmsr~tprf_y8tx,Chicago,46.6,2001-01-01,U. of Chicago/Kenwood,20116,890.2,74.4,172
https://data.cityofchicago.org/resource/bynn-gwxy/row-xvq2~v7p7.vqi4,Chicago,6465.1,2001-04-01,Cermak,226926,7623.9,8625.0,21
https://data.cityofchicago.org/resource/bynn-gwxy/row-n2u5-46fp~btpz,Chicago,0.0,2001-03-01,Cumberland/East River,9733,442.4,0.0,69
https://data.cityofchicago.org/resource/bynn-gwxy/row-nqve.gec3.pqka,Chicago,0.0,2001-01-01,Ridge/Grant,35053,1593.3,0.0,203
https://data.cityofchicago.org/resource/bynn-gwxy/row-967d~tev9~kjvs,Chicago,0.0,2001-02-01,Illinois Center/Ogilvie Express,21067,1053.4,0.0,122
https://data.cityofchicago.org/resource/bynn-gwxy/row-s4y5_c8td-cz6b,Chicago,1925.5,2001-01-01,South Kedzie,154232,5919.1,3596.1,52A
https://data.cityofchicago.org/resource/bynn-gwxy/row-gtej~3n5m_tzzd,Chicago,15573.7,2001-01-01,79th,833507,30018.4,23808.6,79
https://data.cityofchicago.org/resource/bynn-gwxy/row-dtw4.cx9r-cujz,Chicago,5583.1,2001-04-01,Diversey,369563,14598.5,8769.4,76
https://data.cityofchicago.org/resource/bynn-gwxy/row-px69~2725-zsyk,Chicago,0.0,2001-03-01,59th/61st,112201,4569.0,2336.7,59
https://data.cityofchicago.org/resource/bynn-gwxy/row-ige5-bnmt~kqis,Chicago,8943.3,2001-04-01,Lawrence,420979,15459.7,12902.1,81
https://data.cityofchicago.org/resource/bynn-gwxy/row-njis.hsnd_ac2w,Chicago,0.0,2001-01-01,Main/Emerson,10563,480.1,0.0,202
https://data.cityofchicago.org/resource/bynn-gwxy/row-3hnt-24ns.45rg,Chicago,0.0,2001-03-01,Madison/Roosevelt Circulator,3997,181.7,0.0,127
https://data.cityofchicago.org/resource/bynn-gwxy/row-qbvs-xy3q-yp6u,Chicago,0.0,2001-04-01,Cumberland/East River,8262,393.4,0.0,69
https://data.cityofchicago.org/resource/bynn-gwxy/row-ukyp~decf-pfuh,Chicago,0.0,2001-03-01,Dodge,37197,1690.8,0.0,204
https://data.cityofchicago.org/resource/bynn-gwxy/row-vw3q-vwk2~uutu,Chicago,1100.0,2001-02-01,Cermak Express,10639,0.0,1559.9,X21
https://data.cityofchicago.org/resource/bynn-gwxy/row-shpv.zsax.43kh,Chicago,0.0,2001-02-01,55th/Narragansett,23891,1162.0,162.8,55N
https://data.cityofchicago.org/resource/bynn-gwxy/row-vxhr-6atn_6j2u,Chicago,178.3,2001-01-01,U. of Chicago/Hyde Park,21573,864.9,413.2,171
https://data.cityofchicago.org/resource/bynn-gwxy/row-t3k8~b3bf~edu6,Chicago,9553.9,2001-04-01,Chicago,551821,21052.5,15487.3,66
https://data.cityofchicago.org/resource/bynn-gwxy/row-b7sy-shtu.nm2z,Chicago,0.0,2001-01-01,Halsted/95th,64417,2928.1,0.0,108
https://data.cityofchicago.org/resource/bynn-gwxy/row-edci.3jid.5u8f,Chicago,0.0,2001-02-01,Harrison,113688,5684.4,0.0,7
https://data.cityofchicago.org/resource/bynn-gwxy/row-ybte~8qwg_f4b3,Chicago,0.0,2001-01-01,Ogilvie/Wacker Express,13982,635.5,0.0,120
https://data.cityofchicago.org/resource/bynn-gwxy/row-vznv_h8w9-ccpk,Chicago,0.0,2001-01-01,Mag Mile Express,16944,770.2,0.0,33
https://data.cityofchicago.org/resource/bynn-gwxy/row-p3w4.5tex.z6vk,Chicago,0.0,2001-01-01,59th/61st,102622,4260.5,2222.6,59
https://data.cityofchicago.org/resource/bynn-gwxy/row-ymsu-bf8f.pxrs,Chicago,124.1,2001-03-01,U. of Chicago/Lakeview Express,6247,206.2,243.0,173
https://data.cityofchicago.org/resource/bynn-gwxy/row-tbn2_tvhy_hcu5,Chicago,427.3,2001-03-01,West 63rd,56594,2323.6,753.2,63W
https://data.cityofchicago.org/resource/bynn-gwxy/row-quke_3nxj~jkwa,Chicago,0.0,2001-03-01,Ridge/Grant,37416,1700.7,0.0,203
https://data.cityofchicago.org/resource/bynn-gwxy/row-as2e-rkgm.4xip,Chicago,0.0,2001-03-01,North Milwaukee,13941,633.7,0.0,56A
https://data.cityofchicago.org/resource/bynn-gwxy/row-zddu~uyqz~8qjz,Chicago,2091.9,2001-02-01,North Western,122332,5039.0,3296.3,49B
https://data.cityofchicago.org/resource/bynn-gwxy/row-h5uj.7m5s_urnr,Chicago,0.0,2001-03-01,Indiana/Hyde Park,166579,7571.8,0.0,1
https://data.cityofchicago.org/resource/bynn-gwxy/row-h3zu.psrj-ijx7,Chicago,3080.6,2001-02-01,74th-75th,178935,7381.3,4746.8,75
https://data.cityofchicago.org/resource/bynn-gwxy/row-5q42~nude.mdid,Chicago,0.0,2001-04-01,Union/Wacker Express,35715,1700.7,0.0,121
https://data.cityofchicago.org/resource/bynn-gwxy/row-7jtn_c2wf.ap3x,Chicago,1877.1,2001-02-01,South Kedzie,142769,6113.8,3246.1,52A
https://data.cityofchicago.org/resource/bynn-gwxy/row-i4px-grs7.p957,Chicago,6168.6,2001-02-01,87th,390526,16279.6,10064.7,87
https://data.cityofchicago.org/resource/bynn-gwxy/row-67vr-vxyv-p4dw,Chicago,0.0,2001-04-01,Jeffery Express,204237,9725.6,0.0,14
https://data.cityofchicago.org/resource/bynn-gwxy/row-aqvz~ktzz-syxn,Chicago,8339.9,2001-04-01,North,423154,15970.2,11519.9,72
https://data.cityofchicago.org/resource/bynn-gwxy/row-yug9-texr.9rdh,Chicago,0.0,2001-02-01,Western Express,113085,5654.3,0.0,X49
https://data.cityofchicago.org/resource/bynn-gwxy/row-jq8y.qpxr.q6hq,Chicago,5264.0,2001-01-01,Division,301077,11102.5,7625.8,70
https://data.cityofchicago.org/resource/bynn-gwxy/row-s2ep-9att~u32h,Chicago,1196.0,2001-03-01,West 103rd,98619,3883.1,1681.2,103
https://data.cityofchicago.org/resource/bynn-gwxy/row-ht2u~vuhr_4g5h,Chicago,3177.5,2001-02-01,Michigan/119th,141151,5484.8,4686.4,119
https://data.cityofchicago.org/resource/bynn-gwxy/row-zvtr_yq5u.bnc6,Chicago,0.0,2001-03-01,Lunt,28449,1293.1,0.0,96
https://data.cityofchicago.org/resource/bynn-gwxy/row-5w8c-icx8.tgpk,Chicago,0.0,2001-02-01,Ridge/Grant,36476,1823.8,0.0,203
https://data.cityofchicago.org/resource/bynn-gwxy/row-isri_hh8y_k4me,Chicago,5260.9,2001-02-01,Central,320389,13316.8,8252.3,85
https://data.cityofchicago.org/resource/bynn-gwxy/row-smad-5vnd-axgh,Chicago,1155.9,2001-02-01,West 103rd,87493,3852.0,1457.5,103
https://data.cityofchicago.org/resource/bynn-gwxy/row-9874.d9jb.y7v5,Chicago,0.0,2001-04-01,Mag Mile Express,13083,623.0,0.0,33
https://data.cityofchicago.org/resource/bynn-gwxy/row-6dz3-fji7-ene4,Chicago,1617.3,2001-04-01,Armitage,129844,5350.8,2348.0,73
https://data.cityofchicago.org/resource/bynn-gwxy/row-598b.a4qn.3gam,Chicago,9303.4,2001-04-01,State,461607,17241.6,13254.5,29
https://data.cityofchicago.org/resource/bynn-gwxy/row-5zry~i58d_9m96,Chicago,3213.3,2001-03-01,93rd-95th,167062,5881.4,4963.7,95E
https://data.cityofchicago.org/resource/bynn-gwxy/row-jasy-6id4_64cq,Chicago,8297.1,2001-04-01,Kimball-Homan,524259,20346.4,13874.5,82
https://data.cityofchicago.org/resource/bynn-gwxy/row-5ia4-cm68_5pd4,Chicago,1672.9,2001-03-01,South Pulaski,239686,9781.8,3558.8,53A
https://data.cityofchicago.org/resource/bynn-gwxy/row-vyiy_exkk~ax48,Chicago,1805.7,2001-01-01,Grand,169020,6695.3,3173.9,65
https://data.cityofchicago.org/resource/bynn-gwxy/row-whig_q2t7~4uhq,Chicago,0.0,2001-01-01,LaSalle,198859,9039.1,0.0,156
https://data.cityofchicago.org/resource/bynn-gwxy/row-m2ic_wb4v~v26v,Chicago,12524.6,2001-03-01,Western,688429,24336.2,20586.9,49
https://data.cityofchicago.org/resource/bynn-gwxy/row-vpaa-henb~4ci8,Chicago,7688.1,2001-03-01,North,442762,16133.3,11415.2,72
https://data.cityofchicago.org/resource/bynn-gwxy/row-kwty~swku~k7ga,Chicago,3580.5,2001-01-01,South Michigan,214933,7911.6,5744.2,34
https://data.cityofchicago.org/resource/bynn-gwxy/row-j9xf-dcxp_h98z,Chicago,424.3,2001-02-01,West 63rd,48975,2234.9,644.8,63W
https://data.cityofchicago.org/resource/bynn-gwxy/row-n7v7-z3jc~2pnw,Chicago,5552.8,2001-04-01,Central,336985,13056.0,8761.3,85
https://data.cityofchicago.org/resource/bynn-gwxy/row-9h3u.ckwh~wyjw,Chicago,0.0,2001-01-01,Sheridan/LaSalle Express,45218,2055.4,0.0,136
https://data.cityofchicago.org/resource/bynn-gwxy/row-t8hb~spm9~6qey,Chicago,0.0,2001-02-01,Indiana/Hyde Park,148028,7401.4,0.0,1
https://data.cityofchicago.org/resource/bynn-gwxy/row-v7ub.8w7d.huak,Chicago,8857.2,2001-02-01,State,433873,17481.6,12203.1,29
https://data.cityofchicago.org/resource/bynn-gwxy/row-cyjc~jqg8~ummz,Chicago,3093.9,2001-02-01,West 95th,138913,5348.8,4890.2,95W
https://data.cityofchicago.org/resource/bynn-gwxy/row-8txm.5tdw-bybz,Chicago,2243.8,2001-02-01,Pullman/111th/115th,151009,6361.6,3700.4,111
https://data.cityofchicago.org/resource/bynn-gwxy/row-5ytt-znxi-uzv3,Chicago,4642.1,2001-02-01,Archer,355110,15473.0,6770.3,62
https://data.cityofchicago.org/resource/bynn-gwxy/row-fp44.f8v4_qqze,Chicago,1669.7,2001-04-01,Wallace-Racine,156748,6475.3,3104.4,44
https://data.cityofchicago.org/resource/bynn-gwxy/row-p7sp_6uei.wgj8,Chicago,0.0,2001-04-01,North Harlem,9114,404.6,154.6,90N
https://data.cityofchicago.org/resource/bynn-gwxy/row-p97t.iefs~vuh7,Chicago,11694.7,2001-01-01,Sheridan,634324,23604.8,14136.3,151
https://data.cityofchicago.org/resource/bynn-gwxy/row-mkh8.5tbc.42cg,Chicago,2601.5,2001-04-01,Austin,204625,8288.6,4389.1,91
https://data.cityofchicago.org/resource/bynn-gwxy/row-5mgh-kpjy~q8sz,Chicago,0.0,2001-04-01,Lunt,24698,1176.1,0.0,96
https://data.cityofchicago.org/resource/bynn-gwxy/row-jjc4.u42j~g8tp,Chicago,0.0,2001-02-01,Water Tower Express,47699,2385.0,0.0,125
https://data.cityofchicago.org/resource/bynn-gwxy/row-mkim~xxqx.zhr6,Chicago,253.2,2001-03-01,U. of Chicago/Hyde Park,23436,948.2,312.5,171
https://data.cityofchicago.org/resource/bynn-gwxy/row-hysv-v2h3~iis6,Chicago,6289.6,2001-02-01,Milwaukee,355380,14732.9,8891.0,56
https://data.cityofchicago.org/resource/bynn-gwxy/row-52y2-mbh8_xhy8,Chicago,1419.2,2001-02-01,Armitage,120886,5320.6,2199.4,73
https://data.cityofchicago.org/resource/bynn-gwxy/row-fd5p~scmm~eqh6,Chicago,0.0,2001-04-01,South Western,8292,394.9,0.0,49A
https://data.cityofchicago.org/resource/bynn-gwxy/row-9tum~8tj5_cqxq,Chicago,4827.2,2001-01-01,Diversey,348404,13254.3,8168.3,76
https://data.cityofchicago.org/resource/bynn-gwxy/row-q8bb.8stg-e8rj,Chicago,0.0,2001-04-01,Harrison,111146,5292.7,0.0,7
https://data.cityofchicago.org/resource/bynn-gwxy/row-z2i5-2vw2-ui7m,Chicago,2753.9,2001-03-01,South Cicero,148677,5084.5,5160.6,54B
https://data.cityofchicago.org/resource/bynn-gwxy/row-d67p.3q82~t3i9,Chicago,1706.3,2001-02-01,Grand,156050,6868.3,2964.6,65
https://data.cityofchicago.org/resource/bynn-gwxy/row-5jdz.jbcm-ei35,Chicago,0.0,2001-01-01,South Western,7332,333.3,0.0,49A
https://data.cityofchicago.org/resource/bynn-gwxy/row-naa9~h7vj.k4aa,Chicago,10142.3,2001-03-01,Pulaski,612322,22336.2,16071.4,53
